0.50 | 1001  $aBotrel, Jean-François | 1001  $04566 $aBotrel, Jean- François
0.50 | 7001  $01995 $aGil, Isidoro $eaut. | 7001  $02064 $aGil, Isidro $eil.
0.50 | 1001  $012444 $aLópez Baralt, Luce | 1001  $030585 $aLópez-Baralt, Luce
1.00 | 1001  $05276 $aValera, Diego de $dca. 1412-ca. 1488 | 1001  $036214 $aVera, Diego de
0.50 | 7001  $02122 $aGonzález Blanco, Andrés $d1888-1924 $erec. | 1001  $019001 $aGonzález-Blanco, Andrés
1.00 | 7001  $07968 $aValero Juan, Eva María $eed. lit. | 1001  $aValero Juan, Eva M.®
1.00 | 7001  $07968 $aValero Juan, Eva María $eed. lit. | 1001  $07968 $aValero Juan, Eva M.®
1.00 | 7001  $07968 $aValero Juan, Eva María $eed. lit. | 7001  $07968 $aValero Juan, Eva M.® $edir.
1.00 | 1001  $09252 $aMuñiz, Carlos | 1001  $09252 $aMuñiz, Carlos
1.00 | 7001  $03116 $aBolaños Donoso, Piedad $eed. lit. | 7001  $03116 $aBolaños Donoso, Piedad $eed. lit.
1.00 | 7001  $014941 $aRevuelta Sañudo, Manuel $eed. lit. | 7001  $014941 $aRevuelta Sañudo, Manuel $eed. lit.
1.00 | 1001  $012089 $aFernández-Ordóñez, Inés | 1001  $012089 $aFernández-Ordóñez, Inés
1.00 | 7001  $017619 $aUreña, Rafael de $d1852-1930 $ecoaut. | 1001  $017619 $aUreña, Rafael de $d1852-1930
1.00 | 7001  $03095 $aParedes Nuñez, Juan $d1949- $eed. lit. | 7001  $03095 $aParedes Nuñez, Juan $d1949- $eed. lit.
0.50 | 7001  $0263 $aJùregui, Juan de $d1583?-1641 $etrad. | 1001  $aJáuregui, Juan de $d1583?-1641
1.00 | 1001  $036396 $aNúñez de Arenas, Manuel | 1001  $aNúñez de Arenas, Manuel
1.00 | 7001  $03483 $aBulbena i Tosell, Antoni $d1854-1946 $eed. lit. | 7001  $011024 $aBulbena i Tusell, Antoni $eed. lit.
0.50 | 7001  $05962 $aMartín, Antonio $eimp. | 1001  $014823 $aMartino, Antonio
0.67 | 1000  $aFelipe $bII $cRey de España | 1000  $aFelipe $bIV $cRey de España
0.67 | 1000  $aFelipe $bII $cRey de España | 7000  $01491 $aFelipe $bIV $cRey de España $ecoaut.
0.50 | 1001  $aCerdán de Tallada, Tomás $d1533-1614 | 1001  $aCerdà de Tallada, Tomàs $d1533-1614
1.00 | 7001  $026726 $aPalacio Villegas, Domingo de $eed. | 7001  $05308 $aPalacio y Villegas, Domingo $eed.
1.00 | 7001  $026726 $aPalacio Villegas, Domingo de $eed. | 7001  $aPalacio y Villegas, Domingo
0.50 | 1001  $01416 $aEscalante, Eduardo $d1834-1895 | 1001  $aEscalante, Eduard $d1834-1895
1.00 | 7001  $05329 $aCornellas, Sebastián de $eimp. | 7001  $019393 $aCormellas, Sebastián de $dm. 1654 $eimp.
1.00 | 7001  $05329 $aCornellas, Sebastián de $eimp. | 1001  $aCormellas, Sebastián de $dm. 1654
1.00 | 7001  $05329 $aCornellas, Sebastián de $eimp. | 1001  $aCormellas, Sebastián de $d15?-1654
1.00 | 7001  $05329 $aCornellas, Sebastián de $eimp. | 7001  $016057 $aCormellas, Sebastián de $eed.
1.00 | 7001  $05329 $aCornellas, Sebastián de $eimp. | 7001  $019393 $aCormellas, Sebastián de $d15?-1654 $eimp.
0.67 | 1001  $09605 $aHernández Esteban, María | 1001  $05061 $aHernández, Esteban
1.00 | 1001  $012505 $aMuñoz Rojas, José Antonio $d1909- | 1001  $012505 $aMuñoz Rojas, José Antonio $d1909-
* 10.10 | 1112  $06866 $aFestival Internacional de Teatro Clásico $n(25°. $d2002. $cAlmagro) | 1112  $07257 $aFestival Internacional de Teatro Clásico $n(13°. $d1990. $cAlmagro)
1.00 | 7001  $02775 $aPaco, Mariano de $d1946- $ecoaut. | 1001  $07973 $aPano, Mariano
1.00 | 1001  $03035 $aGarcía Castañeda, Salvador | 1001  $03035 $aGarcía Castañeda, Salvador
1.00 | 7001  $03035 $aGarcía Castañeda, Salvador | 1001  $03035 $aGarcía Castañeda, Salvador
0.50 | 1001  $015661 $aÁguila, Gonzalo | 1001  $aAguilar, Gonzalo de
1.00 | 7001  $03052 $aGonzález Cañal, Rafael $ecoaut. | 1001  $03052 $aGonzález Cañal, Rafael
1.00 | 7001  $03052 $aGonzález Cañal, Rafael $ecoaut. | 7001  $03052 $aGonzález Cañal, Rafael $eed. lit.
1.00 | 7001  $03052 $aGonzález Cañal, Rafael $ecoaut. | 7001  $03052 $aGonzález Cañal, Rafael $ecoaut.
0.50 | 7001  $030631 $aVera Tassis y Villarroel, Juan de $ecoaut. | 7001  $018311 $aVera Tasis y Villarroel, Juan de. $eed.
0.50 | 7001  $030631 $aVera Tassis y Villarroel, Juan de $ecoaut. | 1001  $018311 $aVera Tasis y Villarroel, Juan de.
0.50 | 7001  $030631 $aVera Tassis y Villarroel, Juan de $ecoaut. | 7001  $018311 $aVera Tasis y Villarroel, Juan de. $eed. lit.
1.00 | 1000  $aInnocenci $bIII $cPapa | 1000  $aInocencio $bIII $cPapa
1.00 | 7001  $03055 $aCarreño, Antonio $d1938- $ecoaut. | 7001  $03055 $aCarreño, Antonio $d1938- $eed.
1.00 | 1001  $06451 $aFernández, Francisco | 1001  $0336 $aHernández, Francisco $d1517-1587
1.00 | 1001  $02775 $aPaco, Mariano de $d1946- | 1001  $07973 $aPano, Mariano
1.00 | 7001  $02775 $aPaco, Mariano de $d1946- | 1001  $07973 $aPano, Mariano
1.00 | 1001  $036146 $aRosete Niño, Pedro | 1001  $036146 $aRosete Niño, Pedro
0.50 | 7001  $036153 $aGilbert y Tutó, Carlos $eimp. | 7001  $06504 $aGibert y Tutó, Carlos $eimp.
1.00 | 1001  $04042 $aBastinos, Julián $d1852-1918 | 7001  $08016 $aBastinos, Juan $eed.
0.50 | 7001  $04566 $aBotrel, Jean-François $eed.lit. | 1001  $04566 $aBotrel, Jean- François
0.50 | 7001  $04566 $aBotrel, Jean-François $eed.lit. | 1001  $04566 $aBotrel, Jean- François
1.00 | 1000  $aFelipe $bV $cRey de España | 1000  $aFelipe $bII $cRey de España
0.33 | 1000  $aFelipe $bV $cRey de España | 1000  $aFelipe $bIV $cRey de España
0.33 | 1000  $aFelipe $bV $cRey de España | 7000  $01491 $aFelipe $bIV $cRey de España $ecoaut.
1.00 | 1001  $030716 $aCastañeda y Alcover, Vicente | 7001  $030716 $aCastañeda y Alcover, Vicente $ecoaut.
1.00 | 1001  $030716 $aCastañeda y Alcover, Vicente | 1001  $030716 $aCastañeda y Alcover, Vicente
1.00 | 1001  $030716 $aCastañeda y Alcover, Vicente | 7001  $030716 $aCastañeda y Alcover, Vicente
0.50 | 1001  $aGilbert y Tutó, Carlos | 7001  $06504 $aGibert y Tutó, Carlos $eimp.
1.00 | 1001  $011336 $aPellicer de Ossau i Tovar, José $d1602-1679 | 1001  $aPellicer de Ossau y Tovar, José $d1602-1679
1.00 | 7000  $05985 $aDiógenes Laercio | 1000  $aDiògenes de Laerci
1.00 | 1001  $04644 $aSanz S., Manuel | 7001  $034896 $aSanz, Manuel $eimp.
1.00 | 1001  $014000 $aRey, Alfonso | 1001  $08501 $aReyes, Alfonso $d1889-1959
1.00 | 1001  $014000 $aRey, Alfonso | 7001  $08501 $aReyes, Alfonso $d1889-1959
1.00 | 1001  $014000 $aRey, Alfonso | 7001  $aReyes, Alfonso $d1889-1959
1.00 | 1001  $aCordera, Francisco | 1001  $05000 $aTordera, Francisco
* 10.10 | 1102  $014124 $aSociedad de Literatura Española del Siglo XIX $bColoquio $n(3ð. $d2002. $cBarcelona) | 1102  $02729 $aSociedad de Literatura Española del Siglo XIX $bColoquio $n(1ð. $d1996. $cBarcelona)
1.00 | 1001  $017571 $aGrajales, Juan. | 1001  $017566 $aGrajal, Juan
