1.00 | 7001  $06218 $aLyra, Francisco de $eimp. | 7001  $032964 $aLira, Francisco de $e, imp
1.00 | 1001  $016668 $aNúñez, Pedro Juan, $d1522-1602. | 7001  $016668 $aNúñez, Pedro Juan, $d1522-1602. $ealtres
0.50 | 7001  $024200 $aZalteri, Marcantonio | 7001  $024374 $aZaltieri, Marcantonio
1.00 | 7001  $024573 $aNicolino, Domenico | 7001  $020652 $aNicolini, Domenico,
0.50 | 7001  $020285 $aScotto, Girolamo, $eed.imp.lib | 7001  $016427 $aScoto, Girolamo, $eimp
0.50 | 7001  $021051 $aFigueró, Rafel $d(fl. 1669-1722), $eed.imp.lib | 7001  $032818 $aFigueró, Rafael $eimp
1.00 | 7001  $027348 $aFerrer, Antonio | 1001  $030231 $aFerreira, Antonio
0.50 | 7001  $027348 $aFerrer, Antonio | 7001  $06349 $aFerrer, Antoni
1.00 | 1001  $08368 $aGonzález Pérez, Vicente | 1001  $08285 $aGozálvez Pérez, Vicente $d1942-
1.00 | 7001  $019328 $aJofré, Juan, $eed.lit. | 1001  $0116 $aJuan, Jorge $d1713-1773
0.50 | 1001  $020369 $aGrynaeus, Simon $d(1493-1541), $eed.lit. | 7001  $034714 $aGrynäus, Simon, $d1493-1541
1.00 | 7001  $023755 $aCalderini,  Domizio | 7001  $021652 $aCalderino, Domizio $d(1447-1478), $ecom.
1.00 | 7001  $023755 $aCalderini,  Domizio | 7001  $021652 $aCalderino, Domizio $d(1447-1478),
0.50 | 1001  $06150 $aSacro Bosco, Joannes de $dfl 1230- | 1001  $020336 $aSacro Bosco, Johannes de $d(fl.1230)
0.50 | 7001  $06150 $aSacro Bosco, Joannes de $dfl 1230- | 1001  $020336 $aSacro Bosco, Johannes de $d(fl.1230)
1.00 | 7001  $021652 $aCalderino, Domizio $d(1447-1478), $tElucubrationes in quaedam Propertii loca | 7001  $023755 $aCalderini,  Domizio
1.00 | 7001  $016893 $aValvassore, Giovanni Andrea, $eed.imp.lib | 7001  $028506 $aValvassori, Giovanni Andrea
0.50 | 7001  $016448 $aPercacino, Grazioso, $eed.imp.lib | 7001  $024554 $aPercaccino, Grazioso
1.00 | 7001  $020652 $aNicolini, Domenico, $eed.imp.lib | 7001  $024573 $aNicolino, Domenico
1.00 | 7001  $028020 $aAsqar, Abu Ya'far Ahmad ben Sa'id al- | 7001  $028070 $aAskar, Abu Ya'far Ahmad ben Sa'id al-
